director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Nicolas Pesce,Andrea Riseborough,Demián Bichir,John Cho,Horror Mystery Thriller,the grudge,Andrea Riseborough Demián Bichir John Cho Nicolas Pesce Horror Mystery Thriller
William Eubank,Kristen Stewart,Vincent Cassel,Jessica Henwick,Action Horror Science Fiction,underwater,Kristen Stewart Vincent Cassel Jessica Henwick William Eubank Action Horror Science Fiction
Miguel Arteta,Tiffany Haddish,Rose Byrne,Salma Hayek,Comedy,like a boss,Tiffany Haddish Rose Byrne Salma Hayek Miguel Arteta Comedy
Jon Avnet,Richard Gere,Peter Dinklage,Walton Goggins,Drama,three christs,Richard Gere Peter Dinklage Walton Goggins Jon Avnet Drama
Anthony Jerjen,Josh Hartnett,Margarita Levieva,Chandler Riggs,Crime Thriller Drama,inherit the viper,Josh Hartnett Margarita Levieva Chandler Riggs Anthony Jerjen Crime Thriller Drama
Andrew Desmond,Freya Tingley,Simon Abkarian,Rutger Hauer,Horror Thriller Mystery,the sonata,Freya Tingley Simon Abkarian Rutger Hauer Andrew Desmond Horror Thriller Mystery
Daniel Farrands,Mena Suvari,Nick Stahl,Taryn Manning,Thriller Drama Crime,the murder of nicole brown simpson,Mena Suvari Nick Stahl Taryn Manning Daniel Farrands Thriller Drama Crime
Adil El Arbi and Bilall Fallah,Will Smith,Martin Lawrence,Vanessa Hudgens,Thriller Action Crime,bad boys for life,Will Smith Martin Lawrence Vanessa Hudgens Adil El Arbi and Bilall Fallah Thriller Action Crime
Stephen Gaghan,Robert Downey Jr.,Antonio Banderas,Michael Sheen,Family Fantasy Adventure,dolittle,Robert Downey Jr. Antonio Banderas Michael Sheen Stephen Gaghan Family Fantasy Adventure
Tyler Perry,Crystal R. Fox,Phylicia Rashad,Bresha Webb,Drama Thriller Mystery,a fall from grace,Crystal R. Fox Phylicia Rashad Bresha Webb Tyler Perry Drama Thriller Mystery
Guy Ritchie,Matthew McConaughey,Charlie Hunnam,Henry Golding,Comedy Crime,the gentlemen,Matthew McConaughey Charlie Hunnam Henry Golding Guy Ritchie Comedy Crime
Floria Sigismondi,Mackenzie Davis,Finn Wolfhard,Brooklynn Prince,Horror Thriller,the turning,Mackenzie Davis Finn Wolfhard Brooklynn Prince Floria Sigismondi Horror Thriller
Todd Robinson,Sebastian Stan,Christopher Plummer,William Hurt,War Drama,the last full measure,Sebastian Stan Christopher Plummer William Hurt Todd Robinson War Drama
Will Forbes,Terry Crews,Ludacris,Jamila Velazquez,Animation Drama Family,john henry,Terry Crews Ludacris Jamila Velazquez Will Forbes Animation Drama Family
Reed Morano,Blake Lively,Jude Law,Sterling K. Brown,Action Thriller,the rhythm section,Blake Lively Jude Law Sterling K. Brown Reed Morano Action Thriller
Oz Perkins,Sophia Lillis,Sammy Leakey,Charles Babalola,Fantasy Horror Mystery,gretel & hansel,Sophia Lillis Sammy Leakey Charles Babalola Oz Perkins Fantasy Horror Mystery
Cathy Yan,Margot Robbie,Mary Elizabeth Winstead,Jurnee Smollett-Bell,Action Crime,birds of prey,Margot Robbie Mary Elizabeth Winstead Jurnee Smollett-Bell Cathy Yan Action Crime
"Veronika Franz, Severin Fiala (directors/screenplay); Sergio Casci (screenplay); Riley Keough, Jaeden Martell, Lia McHugh, Richard Armitage, Alicia Silverstone",Riley Keough,Jaeden Martell,Lia McHugh,Drama Horror Thriller,the lodge,"Riley Keough Jaeden Martell Lia McHugh Veronika Franz, Severin Fiala (directors/screenplay); Sergio Casci (screenplay); Riley Keough, Jaeden Martell, Lia McHugh, Richard Armitage, Alicia Silverstone Drama Horror Thriller"
Tom McCarthy,Winslow Fegley,Ophelia Lovibond,Craig Robinson,Family Mystery Comedy Fantasy,timmy failure: mistakes were made,Winslow Fegley Ophelia Lovibond Craig Robinson Tom McCarthy Family Mystery Comedy Fantasy
Jeff Baena,Alison Brie,Debby Ryan,John Paul Reynolds,Drama,horse girl,Alison Brie Debby Ryan John Paul Reynolds Jeff Baena Drama
Michael Fimognari,Lana Condor,Noah Centineo,Jordan Fisher,Romance Comedy,to all the boys: p.s. i still love you,Lana Condor Noah Centineo Jordan Fisher Michael Fimognari Romance Comedy
Jeff Fowler,James Marsden,Ben Schwartz,Tika Sumpter,Action Adventure Family Comedy,sonic the hedgehog,James Marsden Ben Schwartz Tika Sumpter Jeff Fowler Action Adventure Family Comedy
Jeff Wadlow,Michael Peña,Maggie Q,Lucy Hale,Horror Fantasy Adventure Mystery Action,fantasy island,Michael Peña Maggie Q Lucy Hale Jeff Wadlow Horror Fantasy Adventure Mystery Action
Stella Meghie,Issa Rae,Lakeith Stanfield,Chelsea Peretti,Drama Romance,the photograph,Issa Rae Lakeith Stanfield Chelsea Peretti Stella Meghie Drama Romance
"Nat Faxon, Jim Rash",Julia Louis-Dreyfus,Will Ferrell,Miranda Otto,Drama Comedy,downhill,"Julia Louis-Dreyfus Will Ferrell Miranda Otto Nat Faxon, Jim Rash Drama Comedy"
Drew Mylrea,Drew Van Acker,Poppy Delevingne,Natasha Bassett,Action Adventure Comedy,spy intervention,Drew Van Acker Poppy Delevingne Natasha Bassett Drew Mylrea Action Adventure Comedy
Lone Scherfig,Andrea Riseborough,Tahar Rahim,Zoe Kazan,Drama,the kindness of strangers,Andrea Riseborough Tahar Rahim Zoe Kazan Lone Scherfig Drama
Chris Sanders,Harrison Ford,Omar Sy,Cara Gee,Adventure Family Drama,the call of the wild,Harrison Ford Omar Sy Cara Gee Chris Sanders Adventure Family Drama
Autumn de Wilde,Anya Taylor-Joy,Johnny Flynn,Josh O'Connor,Comedy Romance,emma,Anya Taylor-Joy Johnny Flynn Josh O'Connor Autumn de Wilde Comedy Romance
"Dee Rees (director, screenplay); Marco Villalobos (screenplay); Anne Hathaway, Ben Affleck, Rosie Perez, Edi Gathegi, Mel Rodriguez, Toby Jones, Willem Dafoe",Anne Hathaway,Ben Affleck,Rosie Perez,Drama Thriller,the last thing he wanted,"Anne Hathaway Ben Affleck Rosie Perez Dee Rees (director, screenplay); Marco Villalobos (screenplay); Anne Hathaway, Ben Affleck, Rosie Perez, Edi Gathegi, Mel Rodriguez, Toby Jones, Willem Dafoe Drama Thriller"
William Brent Bell,Katie Holmes,Owain Yeoman,Christopher Convery,Horror Mystery Thriller,brahms: the boy ii,Katie Holmes Owain Yeoman Christopher Convery William Brent Bell Horror Mystery Thriller
Michael Cristofer,Tye Sheridan,Ana de Armas,Helen Hunt,Thriller Crime Drama,the night clerk,Tye Sheridan Ana de Armas Helen Hunt Michael Cristofer Thriller Crime Drama
Chris Henchy,Brian Quinn,Joe Gatto,Sal Vulcano,Comedy,impractical jokers: the movie,Brian Quinn Joe Gatto Sal Vulcano Chris Henchy Comedy
Leigh Whannell,Elisabeth Moss,Aldis Hodge,Storm Reid,Thriller Science Fiction Horror,the invisible man,Elisabeth Moss Aldis Hodge Storm Reid Leigh Whannell Thriller Science Fiction Horror
Brett Haley,Elle Fanning,Justice Smith,Alexandra Shipp,Romance Drama,all the bright places,Elle Fanning Justice Smith Alexandra Shipp Brett Haley Romance Drama
Jason Lei Howden,Daniel Radcliffe,Samara Weaving,Natasha Liu Bordizzo,Comedy Action,guns akimbo,Daniel Radcliffe Samara Weaving Natasha Liu Bordizzo Jason Lei Howden Comedy Action
Dan Scanlon,Tom Holland,Chris Pratt,Julia Louis-Dreyfus,Family Animation Adventure Comedy Fantasy,onward,Tom Holland Chris Pratt Julia Louis-Dreyfus Dan Scanlon Family Animation Adventure Comedy Fantasy
Gavin O'Connor,Ben Affleck,Al Madrigal,Michaela Watkins,Drama Adventure History,the way back,Ben Affleck Al Madrigal Michaela Watkins Gavin O'Connor Drama Adventure History
Peter Berg,Mark Wahlberg,Winston Duke,Alan Arkin,Comedy Action Thriller,spenser confidential,Mark Wahlberg Winston Duke Alan Arkin Peter Berg Comedy Action Thriller
George Nolfi,Anthony Mackie,Nicholas Hoult,Nia Long,Drama,the banker,Anthony Mackie Nicholas Hoult Nia Long George Nolfi Drama
Giuseppe Capotondi,Claes Bang,Elizabeth Debicki,Mick Jagger,Thriller,the burnt orange heresy,Claes Bang Elizabeth Debicki Mick Jagger Giuseppe Capotondi Thriller
Carlo Mirabella-Davis,Haley Bennett,Austin Stowell,Elizabeth Marvel,Drama Thriller,swallow,Haley Bennett Austin Stowell Elizabeth Marvel Carlo Mirabella-Davis Drama Thriller
Kelly Reichardt,John Magaro,Orion Hall,René Auberjonois,Drama Western,first cow,John Magaro Orion Hall René Auberjonois Kelly Reichardt Drama Western
Dave S. F. Wilson,Vin Diesel,Eiza González,Sam Heughan,Action Science Fiction,bloodshot,Vin Diesel Eiza González Sam Heughan Dave S. F. Wilson Action Science Fiction
Craig Zobel,Betty Gilpin,Ike Barinholtz,Amy Madigan,Action Thriller Horror,the hunt,Betty Gilpin Ike Barinholtz Amy Madigan Craig Zobel Action Thriller Horror
Erwin Brothers,KJ Apa,Britt Robertson,Shania Twain,Music Drama Romance,i still believe,KJ Apa Britt Robertson Shania Twain Erwin Brothers Music Drama Romance
Liz Garbus,Amy Ryan,Thomasin McKenzie,Lola Kirke,Drama Fantasy,lost girls,Amy Ryan Thomasin McKenzie Lola Kirke Liz Garbus Drama Fantasy
Julia Hart,Grace VanderWaal,Graham Verchere,Giancarlo Esposito,Comedy Drama Romance Family,stargirl,Grace VanderWaal Graham Verchere Giancarlo Esposito Julia Hart Comedy Drama Romance Family
Sally Potter,Javier Bardem,Elle Fanning,Laura Linney,Drama,the roads not taken,Javier Bardem Elle Fanning Laura Linney Sally Potter Drama
Eliza Hittman,Sidney Flanigan,Talia Ryder,Theodore Pellerin,Drama,never rarely sometimes always,Sidney Flanigan Talia Ryder Theodore Pellerin Eliza Hittman Drama
Jason Orley,Pete Davidson,Griffin Gluck,Jon Cryer,Comedy,big time adolescence,Pete Davidson Griffin Gluck Jon Cryer Jason Orley Comedy
Katharine O'Brien,Simon Pegg,Juno Temple,Alexandra Daddario,Drama,lost transmissions,Simon Pegg Juno Temple Alexandra Daddario Katharine O'Brien Drama
Jonathan Jakubowicz,Jesse Eisenberg,Ed Harris,Clémence Poésy,War History Drama,resistance,Jesse Eisenberg Ed Harris Clémence Poésy Jonathan Jakubowicz War History Drama
Prentice Penny,Mamoudou Athie,Courtney B. Vance,Niecy Nash,Drama Comedy,uncorked,Mamoudou Athie Courtney B. Vance Niecy Nash Prentice Penny Drama Comedy
Michael Dowse,Ed Helms,Taraji P. Henson,Betty Gilpin,Comedy Action Crime,coffee & kareem,Ed Helms Taraji P. Henson Betty Gilpin Michael Dowse Comedy Action Crime
Walt Dohrn,Anna Kendrick,Justin Timberlake,Rachel Bloom,Family Animation Comedy Fantasy Adventure Music,trolls world tour,Anna Kendrick Justin Timberlake Rachel Bloom Walt Dohrn Family Animation Comedy Fantasy Adventure Music
Dean Craig,Olivia Munn,Sam Claflin,Freida Pinto,Comedy Romance,love wedding repeat,Olivia Munn Sam Claflin Freida Pinto Dean Craig Comedy Romance
Jay Karas,Seth Carr,Tichina Arnold,Ken Marino,Family Comedy,the main event,Seth Carr Tichina Arnold Ken Marino Jay Karas Family Comedy
Marc Meyers,Alexandra Daddario,Keean Johnson,Logan Miller,Horror Thriller,we summon the darkness,Alexandra Daddario Keean Johnson Logan Miller Marc Meyers Horror Thriller
Vicky Wight,Leslie Bibb,Josh Duhamel,Nora Dunn,Drama Romance,the lost husband,Leslie Bibb Josh Duhamel Nora Dunn Vicky Wight Drama Romance
Charles Band,Cody Renee Cameron,Russell Coker,Robin Sydney,Horror Comedy,corona zombies,Cody Renee Cameron Russell Coker Robin Sydney Charles Band Horror Comedy
Greg Barker,Wagner Moura,Ana de Armas,Garret Dillahunt,Drama,sergio,Wagner Moura Ana de Armas Garret Dillahunt Greg Barker Drama
Kris Pearn,Will Forte,Maya Rudolph,Alessia Cara,Animation Comedy Family,the willoughbys,Will Forte Maya Rudolph Alessia Cara Kris Pearn Animation Comedy Family
Sam Hargrave,Chris Hemsworth,Rudhraksh Jaiswal,Randeep Hooda,Drama Action Thriller,extraction,Chris Hemsworth Rudhraksh Jaiswal Randeep Hooda Sam Hargrave Drama Action Thriller
Sean McEwen,Tom Felton,Tammin Sursok,Wendi McLendon-Covey,Drama Comedy,braking for whales,Tom Felton Tammin Sursok Wendi McLendon-Covey Sean McEwen Drama Comedy
Cory Finley,Hugh Jackman,Allison Janney,Geraldine Viswanathan,Drama Crime History TV Movie,bad education,Hugh Jackman Allison Janney Geraldine Viswanathan Cory Finley Drama Crime History TV Movie
Michael Scott,Camila Mendes,Jessie T. Usher,Jamie Chung,Thriller,dangerous lies,Camila Mendes Jessie T. Usher Jamie Chung Michael Scott Thriller
Joe Robert Cole,Ashton Sanders,Jeffrey Wright,Yahya Abdul-Mateen II,Drama,all day and a night,Ashton Sanders Jeffrey Wright Yahya Abdul-Mateen II Joe Robert Cole Drama
The Pierce Brothers,John-Paul Howard,Piper Curda,Zarah Mahler,Horror Mystery Thriller,the wretched,John-Paul Howard Piper Curda Zarah Mahler The Pierce Brothers Horror Mystery Thriller
